"","celltype1","celltype2","AUC.x","AUC.y","AUC.x.x","AUC.y.y","AUC.x.x.x","AUC.y.y.y","average_AUC","number_points"
"1","ChP-1","ChP-2",0.852533158343875,0.853293296702927,NA,0.852533158343875,0.847059596767266,0.845919389228687,0.850267719877326,5
"2","ChP-1","ChP-3",0.425220134602618,0.42569221911293,NA,0.332325001118898,NA,NA,0.394412451611482,3
"3","ChP-1","ChP-4",0.854053435061979,NA,NA,NA,0.851588982441911,0.764724799461218,0.823455738988369,3
"4","ChP-1","DLExN",0.75811556814747,0.385649974621549,NA,0.420850622163757,NA,0.42569221911293,0.497577096011426,4
"5","ChP-1","DLX5InH",0.749098663899958,0.42569221911293,NA,0.424932084985085,0.426452353240774,0.426452353240774,0.490525534895904,5
"6","ChP-1","GB",0.589237981988141,0.422565711879568,NA,0.423928999984807,0.42569221911293,0.427212487368618,0.457727480066813,5
"7","ChP-1","IPC-1",0.844107962012681,0.482028350628451,NA,0.422565711879568,0.74842250184593,0.42901646769316,0.585228198811958,5
"8","ChP-1","IPC-2",0.840787417329666,0.482028350628451,NA,0.846744458081959,0.591903186055071,0.42569221911293,0.637431126241615,5
"9","ChP-1","IPC-3",0.426452353240774,0.345459979066604,NA,0.424446183240216,0.426452353240774,0.429960636713784,0.41055430110043,5
"10","ChP-1","IPC-4",0.407916512838898,NA,NA,NA,NA,0.834744789959186,0.621330651399042,2
"11","ChP-1","MC-1",0.804078341112712,0.424932084985085,NA,0.425312152049008,NA,NA,0.551440859382269,3
"12","ChP-1","MC-2",0.426834129480421,0.425220134602618,NA,0.418680204204847,0.42569221911293,NA,0.424106671850204,4
"13","ChP-1","MC-3",0.423748898432327,0.42569221911293,NA,0.42569221911293,NA,NA,0.425044445552729,3
"14","ChP-1","MC-4",0.423368831368404,0.423789866974661,NA,NA,NA,NA,0.423579349171533,2
"15","ChP-1","MC-5",0.561011324556489,0.459839559919758,NA,NA,NA,NA,0.510425442238124,2
"16","ChP-1","N-1",0.638731911973748,0.424932084985085,NA,0.42421704960234,0.425449268240495,0.426452353240774,0.467956533608488,5
"17","ChP-1","N-2",0.84399631125625,0.424932084985085,NA,0.481785408741497,0.424417015113781,0.69526549027614,0.574079262074551,5
"18","ChP-1","RG-1",0.805324363245672,0.42569221911293,NA,0.852533158343875,0.42569221911293,0.847040357016297,0.671256463366341,5
"19","ChP-1","RG-10",0.844019043331057,0.651661006582885,NA,0.533612677702122,0.745134989163408,0.852349120800963,0.725355367516087,5
"20","ChP-1","RG-11",0.849024873159115,0.420686374205403,NA,0.852533158343875,0.42569221911293,NA,0.636984156205331,4
"21","ChP-1","RG-2",0.844572412072391,0.423558010312503,NA,0.838910848984444,0.844019043331057,0.830201121051643,0.756252287150408,5
"22","ChP-1","RG-3",0.835504928318239,0.806084501604724,NA,0.850828844082859,0.42920050258594,0.543012643855649,0.692926284089482,5
"23","ChP-1","RG-4",0.747956710199462,0.42343028360367,NA,0.848264734800063,0.738187627195461,0.805324363245672,0.712632743808866,5
"24","ChP-1","RG-5",0.697700046148241,0.525410064626844,NA,0.852533158343875,0.452904066574507,0.537124093278548,0.613134285794403,5
"25","ChP-1","RG-6",0.696969804537156,0.539126035653281,NA,0.424689134112651,0.482788488987503,0.802938133574134,0.589302319372945,5
"26","ChP-1","RG-7",0.853673365882453,0.74601885604183,NA,0.64639784534909,0.841990150764239,0.842771933472484,0.786170430302019,5
"27","ChP-1","RG-8",0.837359512571941,0.850828844082859,NA,0.844019043331057,0.842771933472484,0.848264734800063,0.844648813651681,5
"28","ChP-1","RG-9",0.640755784354762,0.43234071627339,NA,0.844019043331057,NA,0.852533158343875,0.692412175575771,4
"29","ChP-1","ULExN",0.84399631125625,0.385799225768494,NA,0.421424113603113,NA,0.425312152049008,0.519132950669216,4
"30","ChP-2","ChP-3",0.529359361661139,0.423558010312503,NA,0.429319602770355,NA,NA,0.460745658247999,3
"31","ChP-2","ChP-4",0.818526293978027,NA,NA,NA,0.851588982441911,0.690018924445996,0.786711400288645,3
"32","ChP-2","DLExN",0.751198654440678,0.434827502052859,NA,0.750641018634133,NA,0.428072298672536,0.591184868450052,4
"33","ChP-2","DLX5InH",0.74062868197616,0.42569221911293,NA,0.424932084985085,0.649761009438954,0.427468564968357,0.533696512096297,5
"34","ChP-2","GB",0.595141503218451,0.840744128631279,NA,0.538561648255321,0.538332514617443,0.424654200809295,0.587486799106358,5
"35","ChP-2","IPC-1",0.730059355648697,0.651917109142673,NA,0.426708430840513,0.751070992008911,0.651300835590633,0.642211344646285,5
"36","ChP-2","IPC-2",0.844378126597695,0.424275965581994,NA,0.652354928224754,0.853293296702927,0.423707622247058,0.639601987870886,5
"37","ChP-2","IPC-3",0.743986052434543,0.418664306332969,NA,0.425312152049008,0.538620564234976,0.424128965496249,0.510142408109549,5
"38","ChP-2","IPC-4",0.580530281975434,NA,NA,NA,NA,0.837785343395395,0.709157812685414,2
"39","ChP-2","MC-1",0.853293296702927,0.425980268730462,NA,0.42569221911293,NA,NA,0.568321928182106,3
"40","ChP-2","MC-2",0.427194332585383,0.425220134602618,NA,0.418437253332412,0.425980268730462,NA,0.424207997312719,4
"41","ChP-2","MC-3",0.748366126734785,0.425220134602618,NA,0.42569221911293,NA,NA,0.533092826816777,3
"42","ChP-2","MC-4",0.426073995352577,0.42569221911293,NA,NA,NA,NA,0.425883107232753,2
"43","ChP-2","MC-5",0.652859578647344,0.455571142318905,NA,NA,NA,NA,0.554215360483124,2
"44","ChP-2","N-1",0.847504596441011,0.42569221911293,NA,0.756987354702594,0.590657163922111,0.42550818422015,0.609269903679759,5
"45","ChP-2","N-2",0.843236172897199,0.543473390956526,NA,0.655929430126696,0.752713039429428,0.595901641577503,0.678250734997471,5
"46","ChP-2","RG-1",0.852533158343875,0.853293296702927,NA,0.843870335845696,0.852349120800963,0.845539320049161,0.849517046348524,5
"47","ChP-2","RG-10",0.832787962409245,0.75667967230955,NA,0.842773021198096,0.842112421577399,0.845706473816961,0.82401191026225,5
"48","ChP-2","RG-11",0.648240732720849,0.638141061742008,NA,0.755355427228059,0.591431098104089,NA,0.658292079948751,4
"49","ChP-2","RG-2",0.848638646047935,0.593396436638749,NA,0.826701005187194,0.844779181690109,0.821867867989514,0.7870766275107,5
"50","ChP-2","RG-3",0.853293296702927,0.851588982441911,NA,0.851588982441911,0.849700630637983,0.42569221911293,0.766372822267532,5
"51","ChP-2","RG-4",0.841543852729885,0.535258667201882,NA,0.853293296702927,0.844779181690109,0.844292210190589,0.783833441703078,5
"52","ChP-2","RG-5",0.725069411578728,0.739232050108189,NA,0.839736057032751,0.583341637744856,0.854813573421031,0.748438545977111,5
"53","ChP-2","RG-6",0.759819882408486,0.852533158343875,NA,0.538804599127755,0.640974210575767,0.840006722347032,0.726427714560583,5
"54","ChP-2","RG-7",0.839647209791087,0.749723172863204,NA,0.849884668180895,0.840173876114832,0.84239011813104,0.824363809016211,5
"55","ChP-2","RG-8",0.837899285062078,0.851588982441911,NA,0.839750619787245,0.841694152832936,0.842773021198096,0.842741212264453,5
"56","ChP-2","RG-9",0.641069977666213,0.84399631125625,NA,0.763596586016342,NA,0.432622815336962,0.670321422568942,4
"57","ChP-2","ULExN",0.743605983255017,0.429960636713784,NA,0.843074867429092,NA,0.42569221911293,0.610583426627706,4
"58","ChP-3","ChP-4",0.407858414581671,NA,NA,NA,NA,NA,0.407858414581671,1
"59","ChP-3","DLExN",0.412126832182525,0.424708180259747,NA,0.414581534183941,NA,NA,0.417138848875404,3
"60","ChP-3","DLX5InH",0.418935148118101,0.42569221911293,NA,0.504740245946179,NA,NA,0.449789204392403,3
"61","ChP-3","GB",0.421805577751723,0.41867565216691,NA,0.350703571470693,NA,NA,0.397061600463109,3
"62","ChP-3","IPC-1",0.526980327272271,0.361183837837687,NA,0.50937860301206,NA,NA,0.465847589374006,3
"63","ChP-3","IPC-2",0.525675980378055,0.4204374536331,NA,0.448743274158993,NA,NA,0.464952236056716,3
"64","ChP-3","IPC-3",0.416395249783379,0.354151133629067,NA,0.504351997906111,NA,NA,0.424966127106185,3
"65","ChP-3","IPC-4",0.524613995788007,NA,NA,NA,NA,NA,0.524613995788007,1
"66","ChP-3","MC-1",0.848454608505023,0.848264734800063,NA,0.419681968487277,NA,NA,0.705467103930788,3
"67","ChP-3","MC-2",0.644874843395963,0.757171392245505,NA,0.608994687633877,NA,NA,0.670346974425115,3
"68","ChP-3","MC-3",0.821464331286936,0.852533158343875,NA,0.483481433520891,NA,NA,0.719159641050567,3
"69","ChP-3","MC-4",0.838820184140902,0.844019043331057,NA,NA,NA,NA,0.84141961373598,2
"70","ChP-3","MC-5",0.811057353909577,0.400781327791149,NA,NA,NA,NA,0.605919340850363,2
"71","ChP-3","N-1",0.424932084985085,0.423085925802191,NA,0.466737498654114,NA,NA,0.438251836480463,3
"72","ChP-3","N-2",0.418657497383675,0.404930406771655,NA,0.419415264057514,NA,NA,0.414334389404281,3
"73","ChP-3","RG-1",0.425312152049008,0.426452353240774,NA,0.438824188339079,NA,NA,0.43019623120962,3
"74","ChP-3","RG-10",0.416592991130246,0.421679879111815,NA,0.423911203072084,NA,NA,0.420728024438049,3
"75","ChP-3","RG-11",0.420663667384232,0.416395249783379,NA,0.496460391017296,NA,NA,0.444506436061636,3
"76","ChP-3","RG-2",0.525294165036611,0.41935142857805,NA,0.4194817309386,NA,NA,0.45470910818442,3
"77","ChP-3","RG-3",0.424932084985085,0.425980268730462,NA,0.592617711893622,NA,NA,0.48117668853639,3
"78","ChP-3","RG-4",0.416395249783379,0.421423801512076,NA,0.450829403761454,NA,NA,0.42954948501897,3
"79","ChP-3","RG-5",0.611856715362675,0.420128687511432,NA,0.427700463841233,NA,NA,0.48656195557178,3
"80","ChP-3","RG-6",0.42569221911293,0.42569221911293,NA,0.346220117425656,NA,NA,0.399201518550505,3
"81","ChP-3","RG-7",0.531479716702841,0.418591294450205,NA,0.51529004545645,NA,NA,0.488453685536499,3
"82","ChP-3","RG-8",0.526620156280019,0.42569221911293,NA,0.428286150021181,NA,NA,0.460199508471376,3
"83","ChP-3","RG-9",0.405852244581115,0.425260205291785,NA,0.43487460335341,NA,NA,0.42199568440877,3
"84","ChP-3","ULExN",0.412382909782264,0.412126832182525,NA,0.490804653406645,NA,NA,0.438438131790478,3
"85","ChP-4","DLExN",0.408618548709516,NA,NA,NA,NA,0.426452353240774,0.417535450975145,2
"86","ChP-4","DLX5InH",0.516339485994714,NA,NA,NA,0.424932084985085,0.426452353240774,0.455907974740191,3
"87","ChP-4","GB",0.427212487368618,NA,NA,NA,0.424460000474775,0.426072286176852,0.425914924673415,3
"88","ChP-4","IPC-1",0.467998702213248,NA,NA,NA,0.739780613686876,0.430340703777705,0.546040006559276,3
"89","ChP-4","IPC-2",0.426760059866353,NA,NA,NA,0.587219373019451,0.42569221911293,0.479890550666245,3
"90","ChP-4","IPC-3",0.411260863373734,NA,NA,NA,0.419791541070568,0.426452353240774,0.419168252561692,3
"91","ChP-4","IPC-4",0.354973095585984,NA,NA,NA,NA,0.832252745693266,0.593612920639625,2
"92","ChP-4","MC-1",0.424564015199526,NA,NA,NA,NA,NA,0.424564015199526,1
"93","ChP-4","MC-2",0.421423801512076,NA,NA,NA,0.42569221911293,NA,0.423558010312503,2
"94","ChP-4","MC-3",0.421915543030436,NA,NA,NA,NA,NA,0.421915543030436,1
"95","ChP-4","MC-4",0.423325846007411,NA,NA,NA,NA,NA,0.423325846007411,1
"96","ChP-4","MC-5",0.419356652275669,NA,NA,NA,NA,NA,0.419356652275669,1
"97","ChP-4","N-1",0.426452353240774,NA,NA,NA,0.424932084985085,0.426452353240774,0.425945597155544,3
"98","ChP-4","N-2",0.412126832182525,NA,NA,NA,0.429960636713784,0.42550818422015,0.422531884372153,3
"99","ChP-4","RG-1",0.539886174012333,NA,NA,NA,0.42569221911293,0.483548627346555,0.483042340157273,3
"100","ChP-4","RG-10",0.514219483439431,NA,NA,NA,0.639111981153274,0.429960636713784,0.527764033768829,3
"101","ChP-4","RG-11",0.42218393563992,NA,NA,NA,0.424932084985085,NA,0.423558010312503,2
